id,A,B,C,D,E,F,class
1899,92,39,19,60,29,35,0
1221,38,71,63,45,20,0,0
1762,74,24,98,65,8,47,0
914,64,90,55,60,40,2,0
1798,49,44,75,100,29,85,0
162,46,42,29,68,13,31,1
1548,66,97,49,78,32,63,1
584,56,80,98,100,71,8,0
1005,32,24,59,28,72,22,1
870,2,67,22,74,58,3,0
773,42,27,16,53,47,81,0
1553,66,4,78,48,43,70,1
1315,91,100,93,59,65,42,0
1243,3,13,72,47,91,69,0
735,20,70,47,3,44,41,1
1138,100,76,98,44,13,2,0
878,16,3,89,100,25,96,0
1635,39,95,69,90,54,25,0
964,29,40,28,70,11,7,1
798,45,76,81,100,97,28,1
1524,77,95,41,75,75,81,1
1650,16,5,99,83,19,85,1
747,6,55,80,93,23,41,1
1920,61,84,91,65,100,21,1
271,93,33,23,47,32,44,1
461,25,38,97,0,37,26,0
1318,38,68,59,60,39,49,0
376,26,58,70,92,86,60,1
1058,1,40,95,63,41,68,0
268,88,52,52,14,40,6,1
1392,11,1,16,33,85,53,1
1699,62,20,72,0,40,93,0
101,32,71,77,15,87,39,1
1183,31,13,91,26,22,91,1
1293,63,33,31,53,29,3,1
1446,61,37,39,30,8,88,1
1408,13,54,45,98,7,97,1
435,73,63,27,68,87,18,1
1675,63,95,81,87,0,63,1
1387,87,26,29,51,36,57,0
152,98,21,60,12,81,47,1
289,82,20,87,73,91,24,0
1142,56,3,41,57,51,55,0
11,68,10,48,33,12,99,1
1444,90,94,31,10,40,17,0
517,94,98,87,50,94,55,0
1337,90,73,89,4,81,40,1
1376,60,100,21,100,6,77,1
259,46,12,5,90,26,13,1
947,30,58,86,46,18,62,0
84,22,100,1,56,50,47,1
749,22,35,3,79,11,69,0
1612,96,41,32,77,13,91,0
1409,64,25,20,25,67,60,0
1909,42,46,29,7,60,30,0
327,55,7,25,22,8,8,0
65,31,42,97,19,98,77,1
383,67,18,44,64,63,30,1
214,91,62,0,54,95,69,1
758,95,35,37,5,29,19,0
1385,43,85,72,48,86,2,1
748,21,28,50,80,52,13,1
201,65,33,36,61,11,51,0
891,35,31,94,17,26,63,1
861,100,45,20,31,12,82,1
1177,10,94,67,62,30,69,0
335,7,5,55,50,80,22,1
410,96,16,24,75,70,83,0
1242,92,27,60,15,94,61,0
1695,66,95,46,70,58,45,1
724,74,65,84,31,29,5,1
1599,64,73,76,79,41,35,0
569,2,92,55,12,68,53,1
521,68,90,13,3,9,92,0
1075,73,57,8,65,92,45,1
1647,43,17,88,4,26,1,0
1150,49,9,89,61,59,76,1
291,77,21,0,18,5,17,0
908,64,96,16,96,98,11,1
1971,24,52,67,94,76,44,0
1911,100,23,46,37,99,89,1
1363,50,79,39,80,22,75,1
441,74,16,45,59,81,94,1
1389,79,10,37,23,36,80,0
1872,71,8,9,38,66,32,0
1733,0,5,83,57,43,27,1
684,82,49,11,0,0,10,0
761,66,96,61,88,20,34,0
1919,30,86,38,60,44,4,0
122,21,42,81,18,24,73,1
417,87,88,29,23,84,86,1
363,70,73,85,21,19,16,1
890,5,20,33,6,47,47,0
513,24,50,80,53,56,100,0
1009,43,38,85,87,93,0,1
777,76,69,91,12,42,49,1
1412,63,26,14,5,12,46,1
1902,83,18,10,90,6,28,1
1558,41,71,31,95,3,54,1
1233,41,15,54,89,22,21,1
1674,33,17,36,54,29,51,0
1442,93,95,93,87,8,84,0
226,53,15,30,63,81,37,1
1368,41,57,57,68,25,45,0
1039,65,5,19,64,56,56,0
869,42,43,36,36,34,11,1
807,48,91,32,37,56,36,0
548,95,11,50,28,52,16,1
159,27,84,80,38,65,96,0
1394,80,96,43,30,67,36,1
1689,100,36,91,29,76,5,0
388,29,1,58,27,52,82,1
96,57,50,25,73,77,2,0
1633,23,91,90,78,59,10,0
494,59,30,43,21,85,4,0
1218,90,27,100,79,22,28,0
210,57,37,33,83,78,18,1
448,74,6,71,18,3,95,1
910,56,22,53,45,60,48,1
563,94,32,53,82,11,40,0
1500,52,71,100,70,74,35,1
1615,7,35,100,60,80,89,0
1966,79,15,56,17,68,79,1
1471,52,26,44,52,17,1,0
1534,42,95,38,17,47,56,0
188,50,48,76,98,100,11,0
377,40,63,62,19,38,25,1
354,63,21,33,82,89,78,0
329,73,92,18,20,99,89,1
470,43,5,58,62,58,95,1
230,1,77,73,66,24,79,0
954,26,99,97,44,65,91,0
544,97,75,65,25,26,12,0
604,55,43,39,46,38,19,0
580,1,46,42,65,23,26,0
331,71,6,93,56,8,24,0
525,29,24,55,79,54,5,1
95,90,86,97,61,74,87,0
1122,38,25,52,22,8,1,1
454,50,13,40,58,52,25,0
1220,53,8,9,43,15,0,1
690,78,89,84,49,87,63,0
1583,88,24,53,60,15,61,1
653,37,40,20,33,27,80,0
1060,74,38,40,8,38,87,0
1930,45,100,14,2,51,89,1
1067,24,99,60,43,91,100,1
560,78,90,54,31,9,81,1
165,42,60,45,94,73,49,1
2,64,64,69,83,7,5,1
1123,7,44,94,13,57,34,0
1951,42,67,52,40,9,97,1
1643,56,7,48,99,10,94,1
413,82,85,39,59,10,12,0
255,93,67,25,99,27,51,1
1082,90,70,54,76,82,54,1
1037,63,64,70,92,2,56,0
659,13,66,78,55,51,40,0
1750,94,84,69,41,73,73,0
872,10,20,69,85,67,68,0
134,82,25,96,15,2,23,0
218,92,96,26,71,53,98,0
61,4,61,16,36,82,0,1
641,62,9,90,43,21,86,0
1791,27,7,45,36,88,83,1
695,56,50,18,35,38,35,1
1197,77,84,33,28,8,73,0
1561,46,98,40,24,3,35,1
1960,8,1,100,64,20,2,0
660,45,78,4,54,5,46,0
105,39,54,15,40,47,22,0
1362,59,4,77,37,7,73,0
489,23,3,43,48,98,38,0
141,6,1,13,70,42,24,0
1895,32,88,3,65,56,97,0
669,18,77,63,37,88,90,0
627,12,49,23,74,49,65,0
516,7,81,76,69,68,90,1
1415,23,46,67,32,34,84,1
322,14,67,100,46,69,80,1
1014,39,90,31,65,46,18,0
1932,89,34,22,85,32,86,0
696,36,13,29,38,50,20,0
1487,7,10,76,17,23,87,0
1182,72,37,9,47,58,6,0
